 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1
693017,200604,1801-2400,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Carrier,B757-200,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Fuselage Skin,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; First Officer,,Flight Crew Last 90 Days 240; Flight Crew Total 10000; Flight Crew Type 2000,,Time Pressure,,,693017,Aircraft X,,Air Carrier,Pilot Not Flying; Captain,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft; Chart Or Publication; Environment - Non Weather Related,Human Factors,WE WERE WAITING FOR PUSHBACK FROM THE GATE. DEP TIME HAD COME AND GONE AND NO CUSTOMER SVC AGENT HAD CHKED WITH US ABOUT CLOSING THE DOOR FOR DEP. WE INQUIRED WITH OUR FLT ATTENDANTS AND EVENTUALLY FOUND OUT THAT A MAINT ISSUE WAS BEING ADDRESSED. WE HAD NOT BEEN ADVISED BY MAINT THAT THIS WAS HAPPENING. THE MAINT ISSUE WAS A SCRATCH ON THE SIDE OF THE ACFT THAT THE CATERERS HAD BROUGHT TO THE ATTN OF OUR RAMP WHO ADVISED MAINT. (PLTS WERE NOT NOTIFIED!) THE SCRATCHES ON THE FUSELAGE ON DOOR 1R AND NEAR DOOR 1R ALSO HAD THE STICKERS ON THEM; COMMON TO SCRATCHES AND DENTS THAT HAD BEEN ENTERED INTO THE MAINT RECORD. RESEARCH BY MAINT FOUND THAT THERE WAS NO ENTRY IN THE HISTORY OF THE AIRPLANE TO ACCOUNT FOR THE SCRATCHES OR THE EXISTENCE OF THE STICKERS ON THE OUTSIDE OF THE ACFT. THIS LEADS ME TO COME UP WITH 2 CONCLUSIONS FOR THIS: 1) SOMEONE DAMAGED THE ACFT (CATERERS) AT SOME TIME IN THE PAST AND INSTALLED STICKERS TO COVER UP THE DAMAGE. THE STICKERS CAN BE OBTAINED FROM THE MAINT LOGBOOK IN THE COCKPIT OR COULD BE TAKEN FROM OTHER ACTUAL DAMAGED AREAS WITH EXISTING STICKERS ON THE OUTSIDE OF THE ACFT. 2) MAINT AFFIXED THE STICKERS AND FAILED TO ENTER IT INTO THE LOG RECORD. THIS EVENT REQUIRES INVESTIGATION TO DETERMINE WHAT HAPPENED; AS THIS IS A VERY SERIOUS SAFETY ISSUE SINCE STRUCTURAL DAMAGE RENDERING THE ACFT UNAIRWORTHY COULD BE COVERED BY THOSE WISHING TO AVOID PUNISHMENT. THIS COULD LEAD TO SEVERAL THINGS; THE MOST SERIOUS BEING A HULL LOSS. THE READING OF THE LOG ITEM RELATED TO THIS INCIDENT IS AS FOLLOWS: GRIPE: CATERING RPTED A 12 INCH LONG SCRATCH IN FUSELAGE DIRECTLY BELOW DOOR 1RH. ACTION: APR -- FOUND OLD DAMAGE THAT HAD NOT BEEN REPAIRED; ALTHOUGH 2 EACH STICKERS INSTALLED; THERE WAS NO HISTORY; BURNISHED AND EVALUATED PER SRM 53-00-01 AND FOUND TO BE WITHIN LIMITS FOR FURTHER SVC. AREA TREATED WITH ALODINE.,,,,A B757-200 WAS FOUND TO HAVE A 12 INCH SCRATCH IN THE FUSELAGE SKIN BELOW DOOR #1R. HAD RPTED DAMAGE STICKERS ATTACHED. NO RECORD OF SKIN DAMAGE FOUND IN MAINT HISTORY.
693248,200604,1201-1800,ZZZ.Airport,US,270,25,,10000,,,,,Dusk,,,Center ZZZ.ARTCC,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Climb,,Class E ZZZ.E,,,,,,,,,,,,,,,,,,,,,,,,Generator Drive,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,First Officer; Pilot Not Flying,,,,Time Pressure,,,693248,Aircraft X,,Air Carrier,Captain; Pilot Flying,,,,,,,693247,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,,Aircraft Aircraft Damaged; General Declared Emergency; General Maintenance Action,Chart Or Publication; Manuals; Aircraft; Human Factors; Logbook Entry,Human Factors,UPON ARR AT ZZZ FROM ZZZ1 WHILE ON THE RAMP; THE L GENERATOR TRIPPED OFF LINE AND WOULD NOT RESET. WE DEFERRED THE GENERATOR UNDER A PROVISION THAT ALLOWS FOR THE GENERATOR TO BE TURNED OFF BUT LEAVE THE CSD CONNECTED. AFTER TKOF FROM ZZZ; THE CSD STARTED A SLOW RISE IN TEMPERATURE UNTIL IT WENT COMPLETELY OFF SCALE. WHEN THE TEMP ROSE THROUGH ABOUT 140 DEGS; WE RAN THE CSD HIGH OIL TEMP CHKLIST AND ATTEMPTED TO DISCONNECT THE CSD. THE TEMP CONTINUED TO RISE EVEN AFTER WE ATTEMPTED THE DISCONNECT. WE MADE THE DECISION TO RETURN TO ZZZ CONCERNED THAT THE CSD OIL TEMP WAS OFF SCALE HIGH (ABOVE 180 DEGS). MADE AN UNEVENTFUL OVERWT LNDG IN ZZZ.CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: INDICATIONS ON GENERATOR WERE 50 VOLTS WITH NO FREQUENCY INDICATIONS. THE RPTR CONTACTED MAINT CTL AND MADE DECISION TO DEFER; PER THE MEL; THE L GENERATOR AS INOPERATIVE AND THE CONTRACT TECHNICIAN CALLED TO ACCOMPLISH SPECIAL PROCS INCLUDING OIL QUANTITY CHK OF THE CONSTANT SPD DRIVE AND AUX POWER UNIT. ALL SPECIAL PROCS IN THE MEL WERE ACCOMPLISHED EXCEPT THE CONSTANT SPD DRIVE WAS NOT DISCONNECTED DUE TO THE COMPANY POLICY OF NOT DISCONNECTING THE CONSTANT SPD DRIVE IF THE CREW AND THE MAINT CTLR AGREE THE GENERATOR FAULT WAS NOT SPEED RELATED. THE RPTR STATED THE AIRPLANE WAS DISPATCHED. IN CLB AT 10000 FT; THE CONSTANT SPD DRIVE TEMP WENT OUT OF THE RED INDICATION SCALE. THE CONSTANT SPD DRIVE LOW OIL PRESSURE LIGHT ILLUMINATED AND REMAINED ON. THE RPTR NOTED THE CONSTANT SPD DISCONNECT SWITCH HAD TO BE HELD FOR AT LEAST 50 SECONDS BEFORE DISCONNECT WAS ACCOMPLISHED; NORMAL TIME IS 3 SECONDS. AN EMER WAS DECLARED AND THE FLT RETURNED TO DEP ARPT. THE CONTRACT TECHNICIAN ON ARR; APCHED THE ENG AND SMELLED HOT OIL. TECHNICIAN THEN OPENED THE OIL SOAKED COWLING AND DISCOVERED THE CONSTANT SPD DRIVE HAD COME APART AND THE OIL SIGHT GAUGE HAD BLOWN OUT. THE RPTR STATED THAT IN HINDSIGHT; THE CONSTANT SPD DRIVE SHOULD HAVE BEEN DISCONNECTED PRIOR TO DEP.,,,,AN MD80; ON CLB AT 10000 FT; DECLARED AN EMER DUE TO THE L CONSTANT SPD DRIVE OVERTEMP OFF SCALE. CREW DID NOT DISCONNECT CONSTANT SPD DRIVE AND RETURNED TO DEP ARPT WHERE A MAINT INSPECTION REVEALED THAT THE CONSTANT SPD DRIVE HAD COME APART.
694876,200604,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-500,,2,Part 121,,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Supplemental Landing Gear,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,,Maintenance Airframe; Maintenance Powerplant,,,Time Pressure,,,694876,Aircraft X,,Air Carrier,Technician,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,,Person Other Person,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Chart Or Publication; Human Factors; Environment - Non Weather Related,Human Factors,I WAS RELOCATING ACR X FROM THE PAD TO THE GATE. I WAS IN THE L SEAT AND ANOTHER TECHNICIAN WAS IN THE R SEAT; WE WERE BEING TOWED OFF THE PAD AND PREPARING TO TAXI AFTER ENG START. I RED THROUGH MY CHKLIST QUICKLY AND MISSED TURNING MY ('A' HYD ENG DRIVEN PUMP) OFF. THE TOW BAR SHEARED AND DAMAGED THE TOW FITTING ON THE ACFT. I R&R'ED THE TOW FITTING ON THE NOSE LNDG GEAR AND INSPECTED FOR FURTHER DAMAGE; NONE FOUND AND RETURNED THE ACFT TO SVC.,,,,A B737-500 AFTER BEING TOWED OFF A PARKING SPOT AND STARTING THE L ENG FOR TAXI THE TOW BAR WAS SHEARED AND THE ACFT TOW FITTING WAS DAMAGED. TECHNICIAN FAILED TO SWITCH OFF THE L ENG DRIVEN HYD PUMP.
694896,200604,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B737-300,,2,Part 121,,Passenger,,Parked,,,,,Y,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Generator Drive,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Inspector,,,,Troubleshooting,,,694896,Company,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,Maintenance Technician 3,,,,,694897,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural MEL / CDL; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Incorrect / Not Installed / Unavailable Part; Human Factors; Chart Or Publication; Aircraft; Logbook Entry,Human Factors,ON APR/WED/06 ACFT WAS AT THE ZZZ HANGAR FOR A 'C' CHK. I WAS ASSIGNED AS THE ENG INSPECTOR. THE R ENG CSD WAS NOT SVCED PROPERLY AND THE ACFT RETURNED TO THE GATE AFTER PUSHBACK. DURING THE 'C' CHK; I SAW MECH WITH THE OIL SVC CART AT THE R ENG. I SAW PUMPING OIL INTO THE ENG STARTER AND ASSUMED ALL THE OIL SVCING REQUIRED IN THAT AREA WOULD BE COMPLETED. I THEN MOVED ON TO DO OTHER WORK ASSIGNMENTS; IE; FAN BLADE INSPECTION; BORESCOPE; AND INSPECTION UNDER OPEN PANEL. AFTER THE PAPERWORK FOR THE BLADES; BORESCOPE AND PANEL CLOSE-UP HAD BEEN COMPLETED; I LOOKED AROUND THE ENG TO MAKE SURE EVERYTHING WAS CLOSED UP PROPERLY. I DID NOT SEE THE OIL SVC CART ANY LONGER AND ASSUMED THE OIL SVCING WAS COMPLETED. I CHKED THE SAFETIES OF ALL THE FILTERS THAT WERE CHANGED. I DID NOT NOTICE THE LACK OF OIL IN THE CSD. IT WAS MY RESPONSIBILITY TO VERIFY PROPER OIL SVCING AND I MISSED IT.,,,,B747-300 WAS RELEASED FROM A HVY CHK WITH #2 CONSTANT SPD DRIVE OIL NOT SVCED. CSD DEFERRED FOR REPLACEMENT.
695594,200604,0601-1200,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,EMB ERJ 145 ER/LR,,,Part 121,IFR,Passenger,,Landing,,,,,,,Scheduled Maintenance,Testing,,,,,,,,,,,,,,,,,,Normal Brake System,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Troubleshooting,,,695594,Company,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,,,,695595,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken,Aircraft; Airspace Structure; Chart Or Publication; Human Factors; Logbook Entry; Manuals,Human Factors,ACFT BELOW A TIRE ON LNDG DUE POSSIBLY TO MAINT ACTION PERFORMED BY MYSELF. CROSSED HYD LINES WERE DETERMINED TO HAVE CAUSED THE ACFT TO BLOW A TIRE DUE TO LOCKED BRAKES CAUSING THE PLANE TO EXIT THE RWY. MY PART IN THE MAINT ACTIVITY PRIOR TO THE INCIDENT INCLUDED SIGNING FOR THE INSTALLATION OF THE WHEEL SPD TRANSDUCERS AND THE BRAKES WHICH WERE NEVER REMOVED FOR THE INITIAL TASK OF GEAR REMOVAL. I VERIFIED THE PROPER INSTALLATION OF THESE COMPONENTS ON THE L-HAND GEAR AND THESE COMPONENTS WERE DETERMINED TO BE PROPERLY INSTALLED. DUE TO THE LENGTH OF TIME BTWN THE INCIDENT AND THE ACTUAL MAINT AND THE NUMBER OF LEGS FLOWN WITHOUT INCIDENT; IT IS POSSIBLE THAT SOME FORM OF UNDOCUMENTED MAINT COULD ALSO BE SUSPECT. DUE TO THE INCONSISTENT NATURE OF THE BRAKING FAILURES IT ALSO SEEMS THAT POSSIBLY SOME OTHER FACTOR INCLUDING SYS DEFECTS MAY HAVE ALSO CONTRIBUTED.,,,,AN EMB145 ON LNDG HAD A L MAIN TIRE BLOW CAUSING THE ACFT TO VEER L AND DEPART THE RWY. CAUSED BY INCORRECT HYD BRAKE LINE CONNECTIONS.
699552,200604,,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,,Passenger,,Parked,,,,,Y,,,Testing,,,,,,,,,,,,,,,,,,Antiskid System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Inspector,,,,Troubleshooting,,,699552,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,,,Person Flight Crew,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Logbook Entry; Chart Or Publication; Aircraft; Human Factors,Human Factors,L MAIN LNDG GEAR BRAKE AND ANTI-SKID HOSES AT THE UPPER TRUNNION ATTACHMENT WERE INCORRECTLY ATTACHED; CAUSING THE ANTI-SKID SYS TO MALFUNCTION. I WAS THE INSPECTOR PERFORMING RII ON THE HOSE CONNECTION AND IN MY COMPLACENCY ONLY LOOKED AT THE CONNECTION; OVERLOOKING THE CROSSED HOSES. THE REASON FOR THE L MAIN LNDG GEAR REMOVE AND INSTALL WAS FOR THE BEARING CAP INSPECTION; THUS THE WHEELS AND BRAKES WERE NEVER REMOVED CAUSING US TO OVERLOOK OPS CHKS OF THE BRAKES AND ANTI-SKID SYS. WE FOLLOWED GPM 4-00; AND COMPLETELY OVERLOOKED GPM 15-07.,,,,AN EMB145 ON LNDG HAD THE ANTI-SKID MALFUNCTION. ACFT LEFT RWY. FOUND INCORRECT L MAIN LNDG GEAR BRAKE LINE CONNECTIONS.
1348858,200604,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,Daylight,25000,10,CTAF ZZZ,Personal,Cessna 170,,1,Part 91,,Personal,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 10; Flight Crew Total 675; Flight Crew Type 225,,Other / Unknown,,,1348858,,,,,,,,,,,,Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Runway,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Aircraft; Human Factors,Human Factors,Ground loop upon arrival after departing home base and making one landing there. Winds reported as calm. Departed runway. No damage to airport. Slight landing gear damage to airplane; which is airworthy and flyable. Returned to home base without incident.,,,,C170 pilot experienced a ground loop upon landing with calm winds reported. Slight damage to the landing gear was noted and the aircraft was flown back to home base without incident.
694753,200605,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,B757-200,,2,Part 121,,Passenger,,Parked,,,,,,,,Testing,,,,,,,,,,,,,,,,,,Main Gear Door,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Lead Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Lead Technician 4; Maintenance Technician 15,,Time Pressure,,,694753,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Vehicle,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Human Factors; Aircraft; Environment - Non Weather Related,Human Factors,WHILE CHKING R-HAND MAIN LNDG GEAR LEVELING ACTUATOR FOR A LEAK; EQUIP WAS PARKED TOO CLOSE TO R-HAND MAIN LNDG GEAR DOOR AND WHEN GEAR HANDLE WAS PUT IN UP POS; THE AFT CORNER OF GEAR DOOR CAME IN CONTACT WITH GND EQUIP.,,,,A B757-200 INCURRED DAMAGE TO THE R MAIN LNDG GEAR DOOR WHEN ACTIVATED DURING TROUBLESHOOTING THE LEVELING ACTUATOR. DOOR STRUCK PARKED VEHICLE.
696478,200605,,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,,,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Service/Access Door,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Troubleshooting,,,696478,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken,Environment - Non Weather Related; Aircraft; Human Factors,Human Factors,I WAS MANNING GATE X. ACFT #1 ENG REQUIRED OIL SVC. I SVCED #1 ENG WITH OIL AND SECURED THE ACCESS DOOR. TO THE BEST OF MY KNOWLEDGE THE DOOR WAS SECURED BUT WHEN THE ACFT REACHED ITS DEST THE ACCESS DOOR WAS MISSING.,,,,AN EMB145 WAS DISPATCHED AFTER #1 ENG OIL SVC. DOOR DEPARTED THE ACFT IN FLT.
696918,200605,0601-1200,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,A320,,2,Part 121,,Passenger,,Parked,,,,,,,,Repair,,,,,,,,,,,,,,,,,,Door Warning System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Avionics; Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 19,,Troubleshooting; Time Pressure,,,696918,Company,,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 16,,,,,697141,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Automation Aircraft Other Automation; Person Flight Crew,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Aircraft; Chart Or Publication; Environment - Non Weather Related; Human Factors; Logbook Entry,Human Factors,HAD A DEFERRED ITEM INBOUND AFT CARGO DOOR INDICATION INTERMITTENT WITH HISTORY. OPERATED DOOR AND SYS WORKED OK WITH NO FAULTS. FOREMAN INSTRUCTED ME TO CONTACT ONE OF OUR MAINT CTLRS FOR ADDITIONAL TROUBLESHOOTING PROCS. HE TOLD ME (MY FOREMAN) TO GET THE METER THE CTLR CALLED OUT FOR AND TAKE THE READINGS HE WANTED. I DID AND FOUND BOTH SENSORS TO BE OK AND THE ONE TO BE ON THE LOW SIDE OF ADJUSTMENT. MY FOREMAN INSTRUCTED ME TO ADJUST THE STRIKER MECHANISM TO GET THIS SENSOR IN THE MIDDLE OF THE READINGS THE CTLR CALLED OUT. TO DO THIS I HAD TO REMOVE A PANEL ON THE OUTSIDE OF THE CARGO DOOR. I REMOVED PANEL AND MADE ADJUSTMENTS TO GET THE READINGS THE CTLR AND FOREMAN WANTED. I TOLD THE FOREMAN I WAS GOING TO CALL CTLR AND TELL HIM MY ACTIONS. AT THIS TIME; I ASKED ANOTHER MECH TO REPLACE THE PANEL I REMOVED. THE FOREMAN AND HIM (MECH) REINSTALLED PANEL. I DISCUSSED MY ACTIONS WITH CTLR AND HE SAID TO USE HIS NAME IN SIGNOFF; SINCE IT WAS THE LAST DAY ON DEFERRAL. (THE ADJUSTMENTS WERE MADE USING THE CTLR'S INFO.) WE OPERATED DOOR HANDLE NUMEROUS TIMES AND INDICATION WAS GOOD. I SIGNED THE ITEM OFF. THE OTHER MECH WAS NOT AROUND SO I DID NOT PUT HIS NUMBER OR MAKE A SEPARATE ITEM FOR PANEL. THE LIGHT CAME ON AGAIN INFLT AND WHEN FLT CREW DID THEIR WALKAROUND; THEY FOUND PANEL MISSING FROM ACFT AT NEXT STATION.,,,,AN A320 HAD AN AFT CARGO DOOR WARNING SENSOR ADJUSTED TO CORRECT A CHRONIC TIME DEFERRAL. ACCESS PANEL REMOVED FOR SENSOR ADJUSTMENT NOT SECURED AND DEPARTED THE ACFT.
697322,200605,1201-1800,ZZZ.Airport,US,,0,0,,,,,,,,,,Air Carrier,B757-200,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear Wheel,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,Maintenance Technician 4,,Troubleshooting,,,697322,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance,,,,,Aircraft Aircraft Damaged; General Maintenance Action; General None Reported / Taken,Manuals; Logbook Entry; Human Factors; Aircraft; Chart Or Publication,Human Factors,ON MAY/SAT/06 I WAS INSTRUCTED TO CHANGE A L-HAND NOSE GEAR TIRE ON A B757 ACFT. I CHANGED THE TIRE PER MAINT MANUAL SPECS. THE SAME DAY THIS PLANE RETURNED TO THE ARPT ON AN INBOUND FLT WITH A WHEEL BEARING FAILURE. THE PRELIMINARY INVESTIGATION REVEALED THE L-HAND NOSE TIRE AXLE WASHER WAS NOT INSTALLED. TO THE BEST OF MY KNOWLEDGE; I INSTALLED THIS WASHER; BUT IT IS POSSIBLE THAT IT GOT LEFT OUT. THE ACFT WENT DOWN FOR MAINT AND RETURNED TO SVC THE NEXT DAY.,,,,A B757-200 WAS DISPATCHED AFTER THE L NOSE GEAR TIRE AND WHEEL ASSEMBLY WERE REPLACED. ACFT LATER HAD OUTER WHEEL BEARING FAILURE DUE TO AXLE WASHER NOT INSTALLED.
697562,200605,0001-0600,ZZZ.Airport,US,,0,0,,,,,,Dawn,,,,Air Carrier,B757-200,,2,Part 121,IFR,Passenger,,Landing,,,,,,,Scheduled Maintenance,,,,,,,,,,,,,,,,,,,Escape Slide,,X,Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Inspector,Maintenance Inspection Authority; Maintenance Avionics; Maintenance Airframe; Maintenance Powerplant,Maintenance Technician 21,,Troubleshooting; Time Pressure,,,697562,Company,,Air Carrier,Technician,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,Aircraft Aircraft Damaged; General None Reported / Taken; General Maintenance Action,Airspace Structure; Chart Or Publication; Manuals; Company Policy; Aircraft; Human Factors,Chart Or Publication,THERE WAS A CALLOUT TO CHANGE OVERWING SLIDE. I PERFORMED INSPECTION AFTER MECHANICS COMPLETED JOB. AFTER 4 LEGS OF FLT; OVERWING COMPARTMENT DOOR OPENED ON LNDG. MAINT MANUAL STATES THAT DOOR IS KNOWN TO HAVE A FALSE LATCH DILEMMA. UNFORTUNATELY; THIS WAS NOT DISCOVERED; SO I AM NOT SURE IF THAT WAS THE ACTUAL PROB. I BELIEVE SOME CONTRIBUTING FACTORS IN THE CHAIN OF EVENTS ARE: 1) NO CLEAR CUT DIRECTIVES/PROCS OR SIGN-OFFS FOR THE INSPECTOR TO PERFORM; CALLED OUT IN THE MAINT MANUAL PROCS. 2) NO CLEAR CUT PROCS ON WHAT TO SPECIFICALLY CHECK; AFTER MECHANICS INSTALL SLIDE ASSEMBLY; CALLED OUT IN THE REQUIRED INSPECTION ITEMS (RII) LIST. 3) AS THIS IS A FAULTY SYSTEM; KNOWN FOR FALSE LATCHING; LACK OF MANAGEMENT/ENGINEERING TO TAKE A PROACTIVE ROLE TO PREVENT REOCCURRENCE OTHER THAN DISCIPLINE.CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR STATED THE MAINT MANUAL AND THE RII LIST HAVE NO CLEAR STEPS ON WHAT TO INSPECT DURING AND AFTER THE OVERWING SLIDE INSTALLATION. THE MAINT MANUAL MAKES CLEAR THIS DOOR AND SLIDE ASSEMBLY HAS A FALSE LATCH PROB BUT HAS NO INSPECTION TASK PROC OR STEPS TO ASSURE POSITIVE DOOR LOCKING. RPTR STATED THIS SYSTEM HAS A KNOWN FAULT AND FEELS MANAGEMENT AND ENGINEERING MUST TAKE A PROACTIVE ROLE TO PREVENT ANOTHER INCIDENT.,,,,A B757-200; FOUR FLTS AFTER INSTALLATION OF AN ESCAPE SLIDE; HAD THE SLIDE DOOR OPEN UPON LNDG.
