 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
838917,200906,1801-2400,,,,,0,,,,Clear,,,CLR,,,Air Carrier,B757-200,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,,Flight Crew Last 90 Days 150; Flight Crew Total 19300; Flight Crew Type 3000,,Distraction; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,838917,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,,Flight Crew Last 90 Days 180; Flight Crew Total 8000; Flight Crew Type 6500,,Communication Breakdown; Confusion; Distraction,Party1 Flight Crew; Party2 Ground Personnel,,838923,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,,N,Person Ground Personnel; Person Flight Crew,Other Pushed back at the gate.,Aircraft Aircraft Damaged; Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Maintenance Action,Procedure; Equipment / Tooling; Aircraft,Aircraft,"Push crew cleared us to start the left engine on pushback. Left engine started normally. Push crew advised we were clear to start the right engine. The right engine start was initiated. I could hear and feel that the push crew was having difficulty getting the tow bar disconnected. I asked them if they needed a mechanic to look at it. The push crew advised that they now had the tow bar disconnected. At that time I noticed the EGT on the right engine appeared to be increasing faster and higher than normal. We both felt a couple of muted thumps. I moved the fuel control switch to cutoff as the First Officer reached for the QRC.  N2 on the right engine never reached starter cutout.  At nearly the same time I heard the push crew say something to the effect of we had smoke coming from the right engine. We did the engine tailpipe fire QRC. The First Officer went to the manual for reference action items. I asked the push crew if they saw any smoke or fire. They said no; it was out. Also at the same time we were getting dinged from the flight attendant's. I advised the Purser that we had an engine tailpipe fire and we had been told the fire is out. I made a quick PA to the passengers that we had experienced a tailpipe fire when starting the right engine and everything appeared to be OK now. I advised them we would eventually be going back to the gate and to remain seated. The Following the reference actions we let the right engine motor for several minutes. Several mechanics walked up to the aircraft from adjacent gate areas. I had the push crew put a mechanic on the headset so I could get verification that there was no smoke; fire or fluid leakage. The mechanic confirmed there was none.  Fire department vehicles were now present. After the fire department and mechanics verified that the aircraft was indeed stable; we were pulled back to the gate and the passengers were deplaned normally. The right engine had several start anomalies the previous day including a hung start. The previous day write-ups had been cleared and the aircraft had since flown. The max EGT reached appeared to be 504 Deg C. The ground start limit is a maximum of 545 Deg C.  After completing parking checklists and securing the cockpit we went to the ramp to visually inspect the engine area. The engine and nacelle appeared normal. The lower rear part of the wing aft of the engine had damage on the flap track fairing and flap areas.",,,,"Flight Crew of a B757-200 suffered an abnormal start on the right engine during pushback. Reports from ground crew indicated a tailpipe fire had occurred; which was verified later by visual inspection.",
839289,200906,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,,CLR,,CTAF ZZZ,Personal,S-2 All Series,,1,Part 91,None,Personal,,Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Engineer; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 112; Flight Crew Total 9400; Flight Crew Type 150,,Situational Awareness,,,839289,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Runway,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Regained Aircraft Control; General Maintenance Action,Aircraft,Aircraft,"During landing rollout my aircraft suddenly and abruptly swerved to the left and departed the runway. The approach speed was 95 MPH and touchdown was made on the runway centerline several hundreds feet past the threshold. I was decelerating with all 3 wheels on the ground when the aircraft swerved to the left at approximately 40 MPH. I don't know the reason for the sudden change in direction but I did find some heavy plastic material in the left wheel pan. The brakes have not been inspected yet. Nobody was injured and no property other than the aircraft was damaged during this incident.",,,,"A Pitts S-2 became uncontrollable for unknown reasons and departed the runway after a normal landing.",
839423,200906,1201-1800,ZZZ.Airport,US,,0,20,,,VMC,10,,Daylight,5000,,Tower ZZZ,Corporate,Cessna 425/441 Conquest I/Conquest II,,1,Part 91,IFR,Passenger,,Initial Climb; Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 62.8; Flight Crew Total 1360; Flight Crew Type 206.6,,Situational Awareness; Time Pressure; Workload,,,839423,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Excursion Runway,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport; Flight Crew Landed As Precaution; General Declared Emergency; General Evacuated,Aircraft,Aircraft,"I prepared to depart on an IFR flight plan. I started the takeoff run and all gauges were green; indications and performance was normal. Towards the end of the takeoff run at approximately 98 KIAS; I rotated. As the airplane started to lift off; the right engine suddenly went to nearly zero torque and the airplane began to yaw and roll as would be expected with a sudden loss of power on a twin. Based on runway remaining; I elected to retard both power levers to flight idle and land on the runway. As I was in my landing roll and using brakes to decelerate; the right engine suddenly started to make a lot of torque and the airplane started to veer off centerline. I moved my hand off of the power levers (still at idle position) and moved the right condition lever full aft to mechanically shut down the engine and feather the prop so that I would be able to maintain directional control during the deceleration. The airplane stopped just beyond the asphalt surface in firm even level grass. I pushed the right firewall shutoff button as a precaution and proceeded to shut down the left engine normally. I helped the passengers egress.",,,,"A C441's right engine lost power on takeoff. The pilot recovered from the yaw and rejected the takeoff after becoming airborne but departed the runway on level grass while stopping.",
839556,200906,1201-1800,ZZZ.VORTAC,US,120,8.5,,4000,,Mixed,Fog; 3,,,4000,,,Personal,Bonanza 36,,1,Part 91,None,Photo Shoot / Video,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonanza 36,,1,,,Photo Shoot / Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,,Flight Crew Private; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 20; Flight Crew Total 6000; Flight Crew Type 3000,,Physiological - Other; Situational Awareness,,,839556,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Bird / Animal; Inflight Event / Encounter VFR In IMC,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Diverted; Flight Crew Exited Penetrated Airspace; Flight Crew Became Reoriented,Weather; Human Factors,Human Factors,"I was using my aircraft to take pictures of another aircraft. We did a complete briefing before the formation flight outlining our route; the weather and our plan for the photos. At the time of departure the ceiling was 3500 overcast; visibility six miles. We departed to the north. The ceiling was increasing as we went north; and at no time did I lose contact with the jet on my wing nor did the visibility decrease to less than three miles.  We continued our climb and were at about 4000 FT when -- concentrating on my wingman -- I flew into an unexpected wall of fog. I had no time to get a clearance and immediately initiated a fast climb knowing that there was terrain somewhere ahead. I looked out the side window and we were close to the ground I continued my climb in IMC to VFR at about 5000 FT. I had no idea I had suffered damage so I continued the flight; got the pictures and returned. I filed IFR to the airport. When I landed I noted damage to the right wing tip and a broken lens. I also noted what looked like it could have been blood on the wing at the point of impact. It appears that it could have been a bird strike while I was in the clouds or contact with a tree or something on the ground. There was no indication that anything hit the wing during the flight. A mechanic inspected the aircraft for airworthiness and determined it was all right to fly with the broken lens and the small dent in the wing. After a review of the flight I have determined that there were factors that I would have changed. Being a conscientious pilot; I have made arrangements with a CFI to take some additional ground and flight instruction concentrating on these issues.",,,,"While concentrating on taking pictures of another aircraft; the pilot of a Beechcraft 36 flew into IMC conditions and struck either a bird or an object on the ground damaging a wing and light lens.",
839648,200906,1201-1800,ZZZ.VOR,US,,,,20000,,VMC,,,Daylight,,,Center ZZZ,Corporate,Falcon 900,,2,Part 91,IFR,,,Descent,Vectors,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Flap Control (Trailing & Leading Edge),Dassault,X,Improperly Operated; Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 50; Flight Crew Total 8000; Flight Crew Type 400,,Human-Machine Interface,,,839648,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors; Aircraft,Human Factors,"This event occurred while performing a test of the automatic descent mode (ADM) on a Falcon 900 EX aircraft. The ADM mode will automatically descend the aircraft to 15;000 when cabin pressure is lost. The ADM is very similar to an emergency descent except the speed brakes are not extended by the automation; but may be done manually by the pilot.  While performing the ADM test the aircraft's flaps were extended by mistake at approximately 100 KIAS above their limit airspeed. Upon landing visual inspection indicated significant damage to the flap system. The motivation for this report is to report the incident as a human factors design issue. In the Falcons the flap and speed brake handles are located behind the throttles and even though they are of a different shape they are very similar in feel. I have heard of other crews deploying the flaps in error. It is my belief that the cockpit layout contributed to inadvertent deployment of the flaps.","The reporter stated that all of the three engine Falcons and several other models are similarly designed and this type of incident has happened to other flight crews over the years.",,,"DA 900 EX First Officer reports inadvertent extension of flaps during ADM test while attempting to extend speed brakes. Flaps were over sped by 100 KTS causing significant damage; handle design and location appear to be an issue.",
839813,200906,1801-2400,ZZZ.Airport,US,,,,100,,VMC,,,Daylight,,,,Air Carrier,Cessna 402/402C/B379 Businessliner/Utiliner,,1,Part 135,IFR,Passenger,,Takeoff / Launch,Direct,,,,,,,,,,,,,,,,,,,,,,,,,Cargo Door,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying; Single Pilot,Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 320; Flight Crew Total 24000; Flight Crew Type 17000,,Human-Machine Interface,,,839813,,,,,,,,,,,,Aircraft Equipment Problem Less Severe,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport,Aircraft; Human Factors,Aircraft,"On takeoff; as the gear was coming up; I noticed the aft top edge of the nose baggage door move out about an inch; followed in about five seconds by the nose baggage door opening. I informed the tower that we had to return. Entered pattern and landed normally. Post flight inspection found the aft baggage door hinge had broken. The door operated normally prior to the flight. One possible solution would be to limit the size of bags people are allowed to check; although this is probably not feasible.",,,,"Nose baggage door of a Cessna 402 opened in flight shortly after lift off.",
839832,200906,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Other Skydiving,Beechcraft / Beech Aircraft Corp Undifferentiated or Other Model,,1,,VFR,Skydiving,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Contracted Service,Captain,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 150; Flight Crew Total 20000; Flight Crew Type 400,,Situational Awareness,,,839832,,,,,,,,,,,,Ground Excursion Runway; Inflight Event / Encounter Loss Of Aircraft Control,,N,Person Flight Crew,,Aircraft Aircraft Damaged,Aircraft; Human Factors,Aircraft,"Upon application of takeoff power the left engine developed power sooner than the right engine. Pilot lost heading control; slid to the right side of the runway into a sloping ditch. The aircraft then did a slow-speed ground loop. This resulted in damage to the main landing gear; tail landing gear; minor skin damage to the vertical stabilizer and left wingtip.",,,,"Beechcraft D18 suffered a runway excursion and minor damage when the engines did not develop power at the same rate on takeoff.",
840015,200906,0601-1200,ZZZ.Airport,US,,,0,,,,,,Daylight,,,,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Initial Climb; Taxi; Takeoff / Launch; Landing; Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Pitot-Static System,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,,,Troubleshooting; Training / Qualification; Situational Awareness; Communication Breakdown; Human-Machine Interface,Party1 Flight Crew; Party2 Ground Personnel,,840015,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,,,,Situational Awareness; Training / Qualification; Human-Machine Interface; Troubleshooting; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,840014,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Ground Event / Encounter Person / Animal / Bird,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Returned To Departure Airport; Flight Crew Became Reoriented; General Maintenance Action,Procedure; Staffing; Company Policy; Human Factors,Human Factors,"While at the gate; the Captain had requested a bug wash. We were informed that bug washes were only done when aircraft was ready to push back with ramp raised and aircraft door closed. The Captain was told by a Supervisor after we returned that this was a new policy due to damage caused by rampers to pitot tubes in the past. Walk around was completed and revealed no abnormalities with the outside of the aircraft - pitot tubes were intact and contaminant free. After passengers were boarded and aircraft door was closed; the rampers came to the aircraft to do the bug wash. I; the First Officer; first noticed the rampers had arrived to do the bug wash when I happened to see a gloved hand appear below the sun shade on the outside of the windshield as I was finishing paperwork. I heard no noise or felt no impact when they placed the ladder on the outside of the cockpit window. I removed the sunshade to see how clean it was and continued paperwork.  At some point; there was a 'Stall Fail' message on EICAS. The Captain began trouble-shooting the system. We cycled the switches a few times and pressed the test button. Initially nothing changed but a few seconds later the message cleared. We continued the checklists. The rampers finished the bug wash at some point and then we called for push. The rampers never mentioned anything about contact with the pitot tubes; contaminants on the pitot tubes or any other unusual events related to the bug wash. We were pushed out and taxied normally. All other checklists ran normally. No other error messages on taxi out came up. We positioned and held on runway for 2-3 minutes. While holding for take-off clearance; all instrument indications were normal. We were cleared for take-off. Initial roll was normal. As Captain called 80 KTS; I looked at my airspeed indicator and noted that it was around 78 knots. Rotated normally but as I pitched for V2+15; the Captain and I realized immediately that there was an indication error. Almost at the same time the EFIS COMP MON message appeared with flashing IAS on the speed tape. The Captain noted immediately that his instrumentation and the standby airspeed indicator were in agreement and the First Officer side was indicating 10 KTS slower than the other two. The Captain took controls and became pilot flying. We continued out on the RNAV departure. The rest of climbout and navigation on the departure was normal.  The EICAS message was intermittent. The QRH advised to switch the ADC source to the functional side. The airspeed indicator on the First Officers side was consistently 10-15 KTS slower than the other two. The airspeed tape did not bleed down to zero. The Captain discussed it with the Jumpseater and I and it was determined that this was less likely ADC failure but more likely damage of some kind caused by the ramp crew during the bug wash. On departure; we contacted Maintenance and were advised to return to our departure airport. We advised ATC that we needed to return and were assigned a reroute back. We determined we did not need to declare an emergency or request assistance. After calculation; we also noted we were going to be landing about 2000 LBS over limit. We advised Maintenance and they told us it was pilot discretion whether we landed at 49;000 LBS. As a crew; we determined the best course of action would be to come in for landing without circling/ holding with the indication errors. The rest of the approach and landing was uneventful. The landing weight was 48;573. On post flight inspection; it was discovered that there was a substance burned circumferentially on the First Officer's side pitot tube and what appeared to be the same black substance burned on the bottom and upper part of the side of the Captain's pitot tube. There was no communication from the ground crew after the bug wash that there was any contact with the pitot tubes in any manner or that there could potentially be any damage to the outside of the aircraft. Prior to the saluteand final release after push back; there was no indication from the ground crew on their final inspection that there was any potential damage to the aircraft.",,,,"A CRJ200 First Officer's airspeed indication was inaccurate; likely due to a pitot tube damaged by ground personnel.",
840300,200906,,,,,,,,,VMC,,,Daylight,,,Tower ZZZ,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Autothrottle/Speed Control,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Human-Machine Interface; Distraction; Confusion,,,840300,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,,,,Human-Machine Interface; Distraction; Confusion,,,840299,Aircraft Equipment Problem Critical; Deviation - Speed All Types,,N,Automation Aircraft Other Automation; Person Flight Crew,Other Takeoff roll,Aircraft Aircraft Damaged; Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Human Factors,Aircraft,"On takeoff roll received an ECAM fault FLEX TEMP NOT ENTERED. Pushed power up to TOGA. At approx 80 KIAS First Officer stated no V speeds indicating. I thought that we had no performance in the FMC and rejected the takeoff. After exiting the runway I called Dispatch and Maintenance because the brake temps were high and was told to bring aircraft back to the gate for inspection. Brake temps on #1 and 2 brakes were in excess of 900C. Brake temps on 3 and 4 brakes were in excess of 600C. While returning to the gate I noticed the aircraft was not taxiing correctly and we stopped and asked maintenance to come out and check the tires. They did and discovered the tires were deflated and we were towed to the gate.",,,,"An A319 flight crew rejected their takeoff when the auto flight system failed to display their V Speeds.",
840341,200906,1201-1800,ZZZ.Airport,US,,,0,,,,,,Daylight,CLR,,,Air Carrier,B747-400,,,Part 121,,Passenger,,Parked,,,,,Y,,Scheduled Maintenance,Work Cards; Testing; Installation,,,,,,,,,,,,,,,,,,Escape Slide,Boeing,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,Door Area,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Confusion; Distraction; Situational Awareness; Training / Qualification,,,840341,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Maintenance,Other During  "A" in  Hanger,Aircraft Aircraft Damaged; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Company Policy; Procedure; Human Factors,Company Policy,"I was assigned to cabin work this day.  I was working three Job Cards X; Y and Z.  While working the check on Job Card 'Y'; I had (also) accomplished thru item 4; check of closing and arming forces.  I had finished the check of the arming lever and wanted to recheck the forces of the door handle; being that the spring scale has both Newton meter and pound scale; I wanted to be sure I had read the scale correctly; the reading was within tolerances.  Also; this was my first time doing this check and first time doing these job cards; I was concerned that I had done it correctly.  I lifted the door handle approximately 2 inches; when I heard a hissing noise and the door started to pull open.  I then realized that the door was opening on it's own; I let go of the handle.  The door opened fully and the slide deployed and inflated.",,,,"A Mechanic describes his efforts to recheck the closing and arming forces on a B747-400; at door 5L; in order to verify he had correct opening and closing tension (forces) on the door handle. While lifting door handle approximately two inches; heard a hissing noise; door was opening on it's own; slide deployed.",
840354,200906,0601-1200,ZZZ.Airport,US,,0,0,,,VMC,10,,Daylight,,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,1,Part 91,VFR,Personal,,Taxi,Direct,,,,,,,,,,,,,,,,,,,,,,,,,Main Gear Tire,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 16; Flight Crew Total 700; Flight Crew Type 180,,Confusion; Troubleshooting; Time Pressure; Situational Awareness,,,840354,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Object; Ground Event / Encounter Loss Of Aircraft Control; Ground Excursion Taxiway,,N,Person Flight Crew,Taxi,Aircraft Aircraft Damaged; Flight Crew Regained Aircraft Control; Flight Crew Became Reoriented; General Maintenance Action,Aircraft,Aircraft,"During my preflight inspection; I noticed that my main landing gear tires looked a little low; so I had the FBO at my departure airport inflate them to 35 psig per the specifications in my Piper Operating Manual. Following a normal landing; I noticed that the plane was pulling to the left; and by the time I had slowed down to turn off the runway; it was very difficult to steer or taxi forward with the plane; as there was significant drag associated with the flat tire on the left main at this point. At this point my primary concern was to get the plane off the active runway as soon as possible. I was able to make slow forward progress towards the taxiway on the left by increasing propeller power; but I was not able to stop the aircraft from turning to the left at this point. While the tires remained on the asphalt surface; my left wing veered across the taxiway boundary at this point (as defined by the blue taxiway lights).  From my perspective; I believed that my wing was high enough to pass over the top of the blue taxiway lights; but in actuality I clipped two of the lights; resulting in some minor scratches to the paint on the underside of my left wing. At the time I believed that getting my aircraft clear of the active runway in a timely manner was more important than keeping the wing within the taxiway boundary. My A&P Mechanic inspected the flat tire after it was removed; and did not find any signs of excessive wear to the tire that could have led to failure upon landing. He believes that the valve stem did not reseal properly when the tire was inflated; and that the tire completely deflated during my flight such that it was flat prior to landing. He recommended that I wet the valve stem opening with saliva after inflation to check for valve stem leaks; which seems like an easy; prudent way to avoid this type of problem. Also; taxiing over objects in a low wing aircraft should be avoided; as it is difficult to judge wing clearance from the cockpit.",,,,"A PA-28's tire deflated during flight after being inflated prior takeoff. A leaking valve stem was suspected.",
840386,200906,0601-1200,MMSD.Airport,FO,,,0,,,VMC,20,,Daylight,20000,,,Corporate,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,Passenger,,Parked,,,,,,,Unscheduled Maintenance,Repair,,,,,,,,,,,,,,,,,,Aileron,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Multiengine,Flight Crew Last 90 Days 45; Flight Crew Total 16000; Flight Crew Type 150,,Situational Awareness; Training / Qualification,,,840386,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Vehicle,,N,Person Flight Crew; Person Flight Attendant,Pre-flight,Aircraft Aircraft Damaged; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors; Procedure; Company Policy,Human Factors,"We were on the ferry flight to San Jose Del Cabo (MMSD) to pick up passengers and return to the US. We pre-arranged with our handling agent for a quick turn as we would need fuel. Crew consisted of the pilot flying; pilot not flying and a Flight Attendant. I was the pilot not flying on the inbound leg but would be the pilot flying back to the US. After parking on the ramp I opened the external fueling panel and door. The fuel truck was not in sight at this time. I was back on to the aircraft and in to the aft lavatory and baggage compartment. Shortly thereafter I heard a loud noise and felt the aircraft move. The pilot flying was still in the cockpit talking to our handling agent who was in the companion way; why the Flight Attendant was positioned slightly aft of the main door and forward galley. When I exited the aft lavatory; the Flight Attendant told me the fuel truck hit the aircraft. I went outside and saw that the fuel truck had damaged the right aileron and wing tip; which had to be replaced prior to flight; delaying our departure by two days. No one was outside to monitor the fuel trucks arrival. A pilot or handling agent might have been able to direct the fuel truck to park farther away from the aircraft. There should be a minimum distance between the fuel truck and aircraft. This could be marked with orange safety cones positioned by the lineman or handling agent. The ramp was congested with aircraft and there is always a language barrier.",,,,"A corporate pilot reported that a fuel truck struck the right aileron and wing tip during fueling operations at MMSD. An external monitor was not assisting the fuel truck operator.",
840615,200906,1801-2400,,,,,0,,,VMC,Windshear; 30,,Daylight,,,,Corporate,PC-12,,2,Part 91,VFR,Passenger,,Landing,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Angle of Attack Vane,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 47; Flight Crew Total 10783; Flight Crew Type 858,,Human-Machine Interface; Training / Qualification,,,840615,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Unstabilized Approach,,N,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Aircraft; Weather; Procedure,Aircraft,"Normal approach profile to 3500' X 50' asphalt runway. No services. Aircraft AOA guidance utilized on approach; call-outs by SIC were 'Blue Diamond to Donut;' which I was happy with. Wind direction called 130 @ 13-19; gusty. Tree line to left side of runway; several small hangars to right side. I added 40 degrees flaps on final and yaw damper was disengaged on short final. Pleased with profile and looked good for touchdown point. Just prior to touchdown power was reduced full; holding off for mains to make contact; sudden drop of aircraft (SIC noticed sudden drop of AOA) whereupon mains hit and then hard onto nose. At this point blades struck asphalt (approximately 550' down runway). Finish landing roll; turned aircraft around on runway for taxi back to off-load passengers. It was on post flight inspection that the damage was realized. The landing did not seem unusually hard; and passengers were not aware.I will now have more of an appreciation for possible wind-shear conditions due to gusty winds combined with local ground features. When I observe these conditions in the future I may elect to proceed to an alternate airport with better wind to runway alignment or simply a larger landing surface where ground friction possibilities can be minimized.","The reporter stated that the aircraft had extensive engine inspections and propeller blades repaired after this event. His maintenance department determined that the landing would not be considered hard by inspection standards. What was determined after an extensive inspection was that the left Angle of Attack sensor calibration was off by 5 units. That deviation meant that the aircraft would not get a stall warning 5 KTS above stall and that the stick pusher would not exert the 65 pounds of forward yoke pressure to assist in stall recovery. The reporter stated that the AOA calibration process is quite extensive and if any step is missed or the test equipment is not calibrated the AOA indicator will not be accurate.",,,"After a PC-12 firm landing; the nose strut compressed upon touch down allowing the propeller blades to strike the runway. The aircraft had recently been in maintenance. It was later determined the left angle of attach (AOA) system was miscalibrated by 5 units.",
