_ACN,Time_Date,Time_Local Time Of Day,Place_Locale Reference,Place_State Reference,Place_Relative Position.Angle.Radial,Place_Relative Position.Distance.Nautical Miles,Place_Altitude.AGL.Single Value,Place_Altitude.MSL.Single Value,Place_Latitude / Longitude (UAS),Environment_Flight Conditions,Environment_Weather Elements / Visibility,Environment_Work Environment Factor,Environment_Light,Environment_Ceiling,Environment_RVR.Single Value,Aircraft 1_ATC / Advisory,Aircraft 1_Aircraft Operator,Aircraft 1_Make Model Name,Aircraft 1_Aircraft Zone,Aircraft 1_Crew Size,Aircraft 1_Operating Under FAR Part,Aircraft 1_Flight Plan,Aircraft 1_Mission,Aircraft 1_Nav In Use,Aircraft 1_Flight Phase,Aircraft 1_Route In Use,Aircraft 1_Airspace,Aircraft 1_Maintenance Status.Maintenance Deferred,Aircraft 1_Maintenance Status.Records Complete,Aircraft 1_Maintenance Status.Released For Service,Aircraft 1_Maintenance Status.Required / Correct Doc On Board,Aircraft 1_Maintenance Status.Maintenance Type,Aircraft 1_Maintenance Status.Maintenance Items Involved,Aircraft 1_Cabin Lighting,Aircraft 1_Number Of Seats.Number,Aircraft 1_Passengers On Board.Number,Aircraft 1_Crew Size Flight Attendant.Number Of Crew,Aircraft 1_Airspace Authorization Provider (UAS),Aircraft 1_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Waivers / Exemptions / Authorizations (UAS),Aircraft 1_Airworthiness Certification (UAS),Aircraft 1_Weight Category (UAS),Aircraft 1_Configuration (UAS),Aircraft 1_Flight Operated As (UAS),Aircraft 1_Flight Operated with Visual Observer (UAS),Aircraft 1_Control Mode (UAS),Aircraft 1_Flying In / Near / Over (UAS),Aircraft 1_Passenger Capable (UAS),Aircraft 1_Type (UAS),Aircraft 1_Number of UAS Being Controlled (UAS),Component_Aircraft Component,Component_Manufacturer,Component_Aircraft Reference,Component_Problem,Aircraft 2_ATC / Advisory,Aircraft 2_Aircraft Operator,Aircraft 2_Make Model Name,Aircraft 2_Aircraft Zone,Aircraft 2_Crew Size,Aircraft 2_Operating Under FAR Part,Aircraft 2_Flight Plan,Aircraft 2_Mission,Aircraft 2_Nav In Use,Aircraft 2_Flight Phase,Aircraft 2_Route In Use,Aircraft 2_Airspace,Aircraft 2_Maintenance Status.Maintenance Deferred,Aircraft 2_Maintenance Status.Records Complete,Aircraft 2_Maintenance Status.Released For Service,Aircraft 2_Maintenance Status.Required / Correct Doc On Board,Aircraft 2_Maintenance Status.Maintenance Type,Aircraft 2_Maintenance Status.Maintenance Items Involved,Aircraft 2_Cabin Lighting,Aircraft 2_Number Of Seats.Number,Aircraft 2_Passengers On Board.Number,Aircraft 2_Crew Size Flight Attendant.Number Of Crew,Aircraft 2_Airspace Authorization Provider (UAS),Aircraft 2_Operating Under Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Waivers / Exemptions / Authorizations (UAS),Aircraft 2_Airworthiness Certification (UAS),Aircraft 2_Weight Category (UAS),Aircraft 2_Configuration (UAS),Aircraft 2_Flight Operated As (UAS),Aircraft 2_Flight Operated with Visual Observer (UAS),Aircraft 2_Control Mode (UAS),Aircraft 2_Flying In / Near / Over (UAS),Aircraft 2_Passenger Capable (UAS),Aircraft 2_Type (UAS),Aircraft 2_Number of UAS Being Controlled (UAS),Person 1_Location Of Person,Person 1_Location In Aircraft,Person 1_Reporter Organization,Person 1_Function,Person 1_Qualification,Person 1_Experience,Person 1_Cabin Activity,Person 1_Human Factors,Person 1_Communication Breakdown,Person 1_UAS Communication Breakdown,Person 1_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2_Location In Aircraft,Person 2_Reporter Organization,Person 2_Function,Person 2_Qualification,Person 2_Experience,Person 2_Cabin Activity,Person 2_Human Factors,Person 2_Communication Breakdown,Person 2_UAS Communication Breakdown,Person 2_ASRS Report Number.Accession Number,Events_Anomaly,Events_Miss Distance,Events_Were Passengers Involved In Event,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Callback,Report 2_Narrative,Report 2_Callback,Report 1_Synopsis
1288291.0,201508.0,1801-2400,ZZZ.Airport,US,,4.5,1000.0,,,VMC,,,Daylight,,,,Personal,Ultralight,,1.0,Part 91,,Personal,,Cruise,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Propeller,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 15; Flight Crew Total 260; Flight Crew Type 40,,Troubleshooting; Situational Awareness,,,1288291.0,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Other / Unknown,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; Flight Crew Took Evasive Action; Flight Crew Diverted; General Maintenance Action,Manuals; Procedure,Manuals,I was flying on a pleasure flight when the propeller bolts failed and the propeller departed the aircraft. I landed on a private road with no damage to anything on the ground and no further damage to the airplane.,The reporter stated that the wooden propeller was found intact. After examining the propeller and engine; the reporter and his Mechanic found no defects. They assumed that the bolts came loose which allowed the propeller to depart. The aircraft has been flown from a high humidity area to a very dry climate so the Mechanic suggested that the wood; which was last torqued in the humid environment; contained a high moisture content. After being in a dry environment for several months; the moisture left the wood allowing shrinkage. His Mechanic suggested re-torquing wooden propeller bolts following temperature changes; winter to summer; summer to winter and humid climate to dry and vise versa.,,,A Quad City Challenger Rotax Engine wooden propeller departed the aircraft inflight. The aircraft landed safely on a nearby road. The wooden propeller has not been re-torqued after being flown several months earlier from a high humidity area to a dry climate.
1288517.0,201508.0,0601-1200,STP.Airport,MN,,,0.0,,,VMC,Cloudy; 10,,Daylight,6000,,Tower STP,,Gulfstream Jet Undifferentiated or Other Model,,2.0,,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Fractional,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Time Pressure; Distraction,,,1288517.0,Aircraft X,Flight Deck,,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Time Pressure; Distraction,,,1288877.0,Ground Event / Encounter Person / Animal / Bird,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Rejected Takeoff; Flight Crew Returned To Gate; General Maintenance Action; General Flight Cancelled / Delayed,Environment - Non Weather Related; Airport,Environment - Non Weather Related,Departing runway 14 from St. Paul (KSTP) we had a bird strike during the takeoff roll. After being cleared for takeoff; we took the runway and commenced the takeoff roll. At 60 knots the PM (Pilot Monitoring) called 'power set'; followed then by the call '80 knots'. At that moment I noticed a bald eagle coming at us from the right; only a few meters from the nose. I stated 'bird' and attempted to steer the aircraft slightly to the left. The eagle continued toward our aircraft and flew under the nose. At approximately 90 knots the PM called 'abort' at the same time I had pulled the throttles back to idle and deployed the thrust reversers. The PM then deployed the speed brakes as a backup to the abort procedures. The aircraft was brought to a slow speed and we cleared the runway at taxiway A2. During post flight it was discovered that the eagle had struck our nose gear; then the left leading edge wing root followed by the lower left engine cowl. [Maintenance Control] was advised and immediately cleared the bird remains from runway 14; and we met with the USDA back in our hangar before departing with another aircraft to complete the mission.,,[Report narrative contained no additional information.],,A flight crew reported that their aircraft was struck by an eagle during the takeoff roll. The takeoff was successfully rejected and the aircraft returned to the hangar for damage assessment.
1288902.0,201508.0,1801-2400,2G2.Airport,OH,,,0.0,,,VMC,10,,Dusk,CLR,,CTAF 2G2,Personal,Small Aircraft,,1.0,Part 91,,Personal,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 1710; Flight Crew Type 1285,,Distraction,,,1288902.0,,,,,,,,,,,,Ground Event / Encounter Person / Animal / Bird,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Airport; Environment - Non Weather Related,Environment - Non Weather Related,Struck a deer immediately after touching down in wheel landing mode. Deer crossed in front of aircraft from left side while executing a normal landing on runway 32 at Jefferson County Airpark (2G2). I was able to maintain complete control of aircraft during the event. Visible damage caused by strike includes prop; right gear fairings; under belly panels; venture; and transponder antenna. No personal injuries to me or passenger were sustained. There was no time afforded to take evasive action prior to strike without risking a groundloop and risking further damage and/or personal injury. The landing lights were on during the landing and 2 notches of flaps were used which is the normal mode of configuration. A clearing approach to landing was made immediately prior to the landing in question in order to attempt to clear the area of wildlife.,,,,A pilot of a vintage single engine aircraft reported striking a deer during landing rollout. No injuries were reported to either the pilot or his passenger; however the aircraft did sustain visible damage to exterior components.
1289559.0,201508.0,1201-1800,ZZZ.Airport,US,,,0.0,,,VMC,,,Daylight,,,Ramp ZZZ,Air Carrier,SF 340B,,2.0,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,Airframe,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1289559.0,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; First Officer,Flight Crew Air Transport Pilot (ATP),,,Situational Awareness,,,1289560.0,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Object,,,Person Flight Crew,Routine Inspection,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors,Human Factors,The aircraft was given a preflight by both the PIC and SIC. We pushed back tail east with the right engine feathered using high pressure air for cooling. All operations appeared to be normal and the flight continued to airport ZZZ.We landed [at ZZZ] and as we taxied to the gate we had to stop for a few minutes for another company aircraft to move out of the gate area. Our aircraft pulled in and the engines were shut down. A few minutes later the FO went outside to do the post flight. The lead ramp supervisor asked the FO to come over to the cargo door area to look at something. As the FO walked past the left side of the cockpit; he called me to come out and look at the bottom of the cargo door area.The damage below the cargo door was a large 2.5 meter by 10 cm scrape with multiple depressions in the exterior skin. Primer paint and bare aluminum was exposed. The depressions had raised high spots over the bulkhead and stringers. The damage shows strong blunt force impact of an object striking the lower fuselage and continuing aft.The ground crews had spotted this damage as the aircraft taxied in. At least three direct witnesses saw the damage and surveillance cameras showed the aircraft taxi in before ground crews approached the aircraft. The lead supervisor even waited to push the loading stairs any closer until the FO and myself saw the damage.Photos of the damage and log book write up were taken and emailed to maintenance control. Dispatch and the Chief Pilot were notified. Contract maintenance would not sign off on the open write up. More inspections were needed below the cargo floor boards before the ferry permit was completed. The aircraft was then ferried for major repair work.There is strong evidence that shows the damage occurred on the ground [at our departure airport.] There was no damage noted during the preflight and the damage was noted first by the ZZZ ground crews and then by the flight crew. The impact force of the dents made by a bag cart or a GPU would be very hard to miss if it was being pulled away by a tractor. The individual responsible for this must have seen or felt something. There was no notification given to the flight crew after the damage occurred. The flight continued to ZZZ as an unairworthy Part 121 aircraft. The damage was only noted after the fact. My recommendations are very simple for avoiding a recurrence of this event. If you break or damage something; admit it and don't put innocent lives at stake with a damaged flying airplane. Some gates are very crowded and more work space is needed.,,[Report Narrative Contained No Additional Information.],,After landing; evidence of damage below the cargo door of the SF340 was discovered by the ground crew.
1289835.0,201508.0,0601-1200,ZZZ.Airport,US,,,0.0,,,VMC,10000,,Daylight,10000,,CTAF ZZZ,Personal,Small Aircraft,,1.0,Part 91,,Personal,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 3; Flight Crew Total 500; Flight Crew Type 200,,Situational Awareness; Distraction,,,1289835.0,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Object; Inflight Event / Encounter Object; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Weather; Human Factors,Weather,Crosswind lifted left wingtip on landing. Plane ground looped and right wing impacted a fence. Slight damage and no injury,,,,A Hatz CB-1 pilot ground looped his aircraft in a crosswind causing slight damage when the right wing impacted a fence.
1289876.0,201508.0,1201-1800,ZZZ.Airport,US,,,,3500.0,,VMC,Haze / Smoke; 6,,Daylight,10000,,Tower ZZZ,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,1.0,Part 91,,Personal,,Descent,Direct,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 17; Flight Crew Total 3060; Flight Crew Type 223,,Other / Unknown; Situational Awareness,,,1289876.0,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Ground Event / Encounter Gear Up Landing,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Aircraft; Human Factors,Aircraft,Accompanied by a friend; I was flying short trip (25 minutes) to have air conditioning charged. Had recently installed a new battery and intended to have charging system (alternator; voltage regulator) inspected by mechanic before upcoming trip. Fires in the area made for very hazy conditions. About 15 miles out; while speaking to approach; after establishing communication; I began to experience electrical failure. Radios fluctuated with loud whining noises; electric gauges and lights in plane cycled off and on with increased frequency. I notified approach that I was experiencing an electrical problems and would still like to land. Through the static; they told me to look for a green tower light and to descend to pattern altitude; then ATC cleared me to land. My radios failed completely at that point. At the sign of electrical problems; I lowered the gear handle about 8-10 miles from the field and descended to pattern altitude 1;300 feet; flew a downwind and right base and turned final. Everything seemed normal under the circumstances. I was shocked to land gear up on the runway centerline. We came to a halt and exited the airplane without incident. I realized that I had failed to confirm that the gear was down and locked by looking out the window as the gear down light was inoperative.,,,,C210 pilot experienced electrical failure after having a new battery installed. The landing gear is selected down 8-10 miles from the field but the landing gear indicator lights have failed. A gear up landing ensues.
1289879.0,201508.0,1801-2400,ZZZ.Airport,US,,,0.0,,,VMC,10,,Night,,,Tower ZZZ,Personal,Duke 60,,1.0,Part 91,,Training,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Instructor; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 90; Flight Crew Total 3300; Flight Crew Type 10,,Workload; Troubleshooting,,,1289879.0,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft; Procedure,Aircraft,On landing left main landing gear collapsed. Shortly after the nose wheel collapsed. Aircraft came to rest on left side off runway. There were 5 occupants in the aircraft; no injuries. The landing was a normal touchdown; no side loading on the gear. Winds were 270 at 5 knots.On a previous landing had an indication that nose landing gear was not down and locked. Completed POH procedure and did receive an indication of nose gear being down and locked. Landed without incident; nose gear down and locked light illuminated after touchdown.Had the aircraft inspected by a mechanic at the FBO. Was advised the gear was down and locked and the likely issue was the gear motor. Was recommended to fly the aircraft back to its home field with gear down and have maintenance performed.,,,,A BE-60 nose gear indicated not down and locked on the previous approach but did lock after landing. A mechanic recommended gear down ferry to home base. The next landing the left main collapsed followed by the nose gear. No injuries resulted.
1290442.0,201508.0,0601-1200,ZZZ.Airport,US,,,0.0,,,VMC,,,Daylight,,,,Air Carrier,A319,,2.0,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness; Confusion,Party1 Flight Crew; Party2 Ground Personnel,,1290442.0,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 182; Flight Crew Total 11894; Flight Crew Type 8519,,Distraction; Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Flight Crew,,1290448.0,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Object,,,Person Ground Personnel,Taxi,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Human Factors; Staffing,Staffing,While approaching the gate the number 1 engine came in contact with a cart that was parked in the 'operational safety zone.' As I approached the stop point following the guideman's instructions I notice another person standing beside him gesturing wildly and pointing to the left wing. Based on this I stopped the aircraft. Approximately 5 seconds later the guideman directed that I stop the aircraft. By this time the parking brake was set.We ran the parking checklist and then I went outside to see what the issue was; at this point I noted that the #1 engine had hit the air conditioning cart. I also noted that the nose wheel was short of the stop line. If I had followed the guideman's instructions I would have pushed the cart about 18 inches to reach the stop line.The reason that I stopped the aircraft was because of the concerned expression and gestures of a [company] employee that was observing the parking operation not because I was directed to by the lead marshaller. I believe that the lead marshaller was focused on the nose wheel and not looking at the other guide men or the entirety of the aircraft.,,As we approached [the] gate; the Captain remarked that there were no marshallers. I turned my attention to looking up the operations frequency and tuning it into the radio. As I was doing this the aircraft approached the turn point into the gate and the Captain stated that the marshallers were here and began the left turn to parking. As we turned I noticed the lead marshaller begin signaling the Captain forward and a wing walker running toward the right wing. There was no wing walker for the left wing. I did not notice any equipment within the operational safety zone on the right side of the aircraft. I did notice a piece of equipment located beside the jet bridge on the left side but didn't see if or how much it extended into the safety zone. As we approached the stop point the lead marshaller was no longer in my view. The Captain then remarked about some other person which caused me to lean forward to see someone pointing and yelling something as he stood beside the lead marshaller.Although the person never signaled the Captain to stop; the Captain stopped the aircraft even as the marshaller continued to signal forward movement. After the door was opened we learned that the left front portion of the #1 engine's cowling struck a portable A/C unit. The aircraft was stopped approximately 2 feet short of the normal stop point.,,An A-319 crew inadvertently struck an air conditioning cart with their number one engine while taxiing in to their gate. Both piloted report that there was no left side wing walker present. The Captain stated that the lead marshaller continued to direct him forward; but that he stopped when he noticed the concerned expression and gestures of another company employee who was observing the parking operation.
1290704.0,201508.0,1201-1800,DLS.Airport,OR,,,0.0,,,VMC,Turbulence; 10,,Daylight,10000,,CTAF DLS,Air Taxi,Small Transport; Low Wing; 2 Recip Eng,,1.0,Part 135,,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Rotorcraft; Flight Crew Sea,Flight Crew Last 90 Days 150; Flight Crew Total 7255; Flight Crew Type 600,,Time Pressure; Situational Awareness; Confusion; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1290704.0,,,,,,,,,,,,Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,Horizontal 1000,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,Airport; Human Factors,Human Factors,I taxied for takeoff at DLS. I made a radio call saying I was taxiing for takeoff on runway 31. Once I got to the departure end I made a radio call saying I was a taking off from runway 31. Myself and my air attack visually cleared the final for runway 31. I taxied onto the runway; powered up and then commenced with the takeoff. About halfway down the runway the contractor called and said he was crossing runway 31 and he immediately crossed runway 31 from left to right. There was no time for me to say anything. I believe he crossed 31 at the intersection of runway 7/25. I immediately pulled back on the yoke to takeoff and must have immediately started to retract the gear. Winds at the time were reported to be from about 280 degrees at 20 knots or more with higher gusts;I felt a slight bump as I cleared the ground and attributed it to not having enough left aileron input and thought it was the aircraft moving a little to the right as it became light on the ground; I completed the flight and upon landing I inspected the landing gear and found no damage. I never noticed any damage to the belly that was subsequently found two days later.I did not attempt to abort the takeoff; because I had checked the aircraft's airspeed a second or so before the contractor's radio call and it was over 70 MPH and increasing rapidly; with full power applied and the aircraft accelerating downhill. My thought when I saw the vehicle enter the runway was to get as much distance between him and me as possible.The next day I told the airport manager about the incursion and also that when we had returned from the mission [the previous] evening that the closed runway 7/25; the contractor had been working on; had not been X'd out.,,,,A pilot announced his takeoff from an uncontrolled field. During the takeoff roll a contractor working on the airport announced his crossing the runway. The pilot pulled back on the yoke and raised the landing gear. He felt a slight bump as he cleared the ground. After landing he inspected the landing gear and found no damage. He did not notice damage that was done to the belly that was found two days later.
1290725.0,201508.0,1201-1800,ZZZ.Airport,US,,,0.0,,,VMC,10,,Daylight,12000,,CTAF ZZZ,Personal,Texan T6/Harvard (Antique),,1.0,Part 91,,Training,,Landing,Visual Approach,,,,,,,,,,,,,,,,,,,,,,,,,Tail Wheel,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 700; Flight Crew Type 200,,Troubleshooting; Workload; Confusion; Training / Qualification,,,1290725.0,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Strike - Aircraft; Ground Excursion Runway,,,Person Maintenance; Person Flight Crew,Other Post-Flight,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action; Flight Crew Became Reoriented; General Maintenance Action,Human Factors; Procedure,Procedure,Second flight of the day for formation training following FAST formation practices. Three T-6 aircraft were participating in the training. My T-6 was the number two ship in a flight of three ships. We were landing after performing an overhead 360 approach to landing. I had touched down on the right side of the center line (lead touched down on the left side). I wheeled landed and was keeping the a/c on the main gear until the 2000 foot remaining mark. I then let the tail come down. The airplane felt light on the main gear and started to lift and divert to the right. I added power and left rudder for directional control. The airplane left the runway for the grass on the right side then went right wing high and started to divert left. I closed the throttle and attempted to regain directional control and bleed of speed and energy. During this entire roll out; the tail wheel felt that is was not locked. I initially though the locking pin sheared and I only had rudder for directional control. I managed to get the a/c back onto the runway and stopped after swerving left and right until stopped. Once stopped; I shut down the engine and got out to inspect the tail wheel and the a/c. It was obviously not locked. There was evidence that the aft portion of the left wing tip and aileron came into contact with the grass while the a/c was off of the runway. The airport manager closed the runway until we were clear of the runway. This was about 30 minutes duration. With the help of a mechanic; we removed the fairing and saw the locking pin was intact and we were able to move the tail wheel into the locked position. Started the engine and taxied to the hangar for further inspection. The Tail wheel would lock and unlock without difficulty. Remained locked during the taxiing to parking. It is suspected that I inadvertently unlocked the tail wheel during roll out by applying too much forward pressure and also let the tail settle with too much forward speed. This cause the float and unloading of the main gear. The damage was determined by several mechanics not to an airworthiness issue and the airplane was returned to service and flow back to the airport it is based at without incident.,,,,A T-6 Texan Pilot inadvertently unlocked the tailwheel during landing when he applied too much forward pressure causing the aircraft to leave the runway. During one of the off runway turns a wingtip struck the grass.
1290901.0,201508.0,0001-0600,ZZZ.Airport,US,,,0.0,,,VMC,10,,Dawn,CLR,,Ground ZZZ,Air Taxi,PC-12,,1.0,Part 135,IFR,Ferry / Re-Positioning,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,,,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Situational Awareness; Workload,,,1290901.0,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Aircraft,,,Person Flight Crew,Taxi,Aircraft Aircraft Damaged; Flight Crew Became Reoriented; General Maintenance Action,Procedure; Human Factors; Environment - Non Weather Related,Human Factors,Taxiing to park after landing the right wing tip of our aircraft struck an aircraft parked adjacent to the taxiway. The aircraft was parked on the right side of the taxiway was marked with cones and I; looking cross-cockpit; thought I had clearance. There was another aircraft directly opposite on the left side of taxiway with engines running. I felt a bump as I taxied between the two aircraft and thought the aircraft with engines running must have blown some unseen debris that I taxied over. I continued for approximately 100 yards to park at the hangar and saw the damage to our right wing tip.I was distracted by the running aircraft on my left and did not pay close enough attention to the clearance from the other aircraft. In the future; I will stop and insure proper clearance before proceeding.I had taxied out the other day past the aircraft parked there. Taxiing in; the cones and aircraft appeared to be in the same position. In the future; I will not let prior events influence my assessment of the current situation.,,,,While taxiing to his hangar parking spot; a PC-12 pilot was distracted by an aircraft with engines running to his left and allowed his right wingtip to hit an aircraft to his right damaging his wingtip.
1291012.0,201508.0,1201-1800,PAO.Airport,CA,,0.0,0.0,,,VMC,wind gusts; 10,,Daylight,,,,Personal,Cessna Stationair/Turbo Stationair 6,,1.0,Part 91,,Passenger,,Landing,Visual Approach,Class D X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot; Pilot Flying,Flight Crew Private,Flight Crew Last 90 Days 46.7; Flight Crew Total 179; Flight Crew Type 98.9,,Training / Qualification; Troubleshooting,,,1291012.0,,,,,,,,,,,,Ground Event / Encounter Ground Strike - Aircraft,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Weather,Weather,At landing roll-out; airplane bounced multiple times on runway with divergent attitude. Front landing gear fractured followed by propeller ground strike. The aircraft landed safely but lost steering ability on the ground; and subsequently had to be towed off the runway. No personal injury or other property damage.,,,,A Private Pilot bounced a C-206 multiple times on landing. Winds were reported as gusty. The front landing gear fractured and the propeller struck the ground.  The aircraft had to be towed off the runway.
